,ADF,,,,BAF,,,,CAF,,,,MEA,,,,PLA,,,,PLAAGF,,,,PLANMC,,,,RGF,,,,TLF,,,,USA,,,,USMC,,,,VDV,,,,WPMC,,,,IMF,,,,INS,
,,,,,,,,,,,,,1,BMP2 (15min),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,BMD-4M (15min),,,1,M1151 M2,,,1,BMP1 (10min),,,1,BRDM-2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Sprut-SDM1 (15min),,,2,Technical Mortar,,,1,BMP2 (10min),,,1,MTLB PKT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,M1117,,,1,Ural ZU23,,,2,BMP1 (10min)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,M1151 TOW (15min),,,1,MTLB ZU23,,,1,Technical UB32 (10min)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,BM-21 Grad (10min),,,2,Ural ZU23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,Total,,,8,Total,,,10,Total,,,13,Total,,,10,Total,,,11,Total,,,12,Total,,,10,Total,,,10,Total,,,10,Total,,,12,Total,,,11,Total,,,19,Total,,,18,Total,,,20,Total
Single-Use Spawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,HX60 Logi,,,1,HX60 Logi,,,1,LUVW Logi,,,1,Simir Logi,,,1,Logi,,,1,ZSD Logi,,,1,ZSD Logi,,,1,MTLB Logi,,,1,BMC Logi,,,1,Logi,,,1,AAVC Logi,,,1,BTR-DG Logi,,,1,Technical Logi,,,1,Technical Logi,,,1,Technical Logi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total
Tanks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,M1A1 (15min),,,1,FV4034 (15min),,,1,Leopard 2A6M (15min),,,1,T72S (15min),,,1,ZTZ-99A (15min),,,1,ZTZ-99A (15min),,,,,,,1,T90A (15min),,,1,M60T (15min),,,1,M1A2 (15min),,,1,M1A1 (15min),,,1,T72B3 (15min),,,1,M60T (15min),,,1,T62 (15min),,,1,T62 (15min)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,0,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total
Helicopters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,MRH90 (15min),,,1,SA330 (15min),,,1,CH146 (15min),,,1,Mi17 (15min),,,1,Z-8G (15min),,,1,Z-8G (15min),,,1,Z-8J (15min),,,1,Mi8 (15min),,,1,UH1H (15min),,,1,UH60 (15min),,,1,UH1Y (15min),,,1,Mi8 (15min),,,1,Raven (15min),,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,0,Total,,,0,Total
Boats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB M134,,,1,RHIB 7.62,,,1,RHIB 7.62
,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,1,RHIB Mk19,,,2,RHIB .50 cal,,,2,RHIB .50 cal
,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB .50 cal,,,1,RHIB Logi,,,1,RHIB Logi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,RHIB Logi,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,3,Total,,,4,Total,,,4,Total
Special Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,No ATGM Emplacements,,,,No ATGM Emplacements,,,,No ATGM Emplacements,,,,No ATGM Emplacements,,,,No ATGM Emplacements,,,,No ATGM Emplacements,,,,No ATGM Empalcements,,,,No ATGM Emplacements,,,,No ATGM Emplacements,,,,No ATGM Emplacements,,,,No ATGM Emplacements,,,,No ATGM Emplacements,,,,No ATGM Emplacements,,,,None,,,,None
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No FOB Mortars,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOB Emplacements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,HMG Tripod,,,2,HMG Tripod,,,2,HMG Tripod,,,2,HMG Tripod,,,2,HMG Tripod,,,2,HMG Tripod,,,2,HMG Tripod,,,2,HMG Tripod,,,2,HMG Tripod,,,2,HMG Tripod,,,2,HMG Tripod,,,2,HMG Tripod,,,2,HMG Tripod,,,4,HMG Tripod,,,4,HMG Tripod
,2,HMG Bunker,,,2,HMG Bunker,,,2,HMG Bunker,,,2,HMG Bunker,,,2,HMG Bunker,,,2,HMG Bunker,,,2,HMG Bunker,,,2,HMG Bunker,,,2,HMG Bunker,,,2,HMG Bunker,,,2,HMG Bunker,,,2,HMG Bunker,,,2,HMG Bunker,,,3,SPG,,,3,SPG
,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,1,HAB,,,2,Mortar,,,2,Mortar
,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,,,,,1,HAB (100 points),,,2,HAB (100 points)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,AA Gun,,,2,AA Gun
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Field Gun,,,1,Hell Cannon
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,UB32,,,,
