,CAF,,,,PLA,,,,PLANMC,,,,RGF,,,,TLF,,,,USA,,,,USMC,,,,IMF,,,,INS,
,1,CH146 (6min),,,1,Z-8G (6min),,,1,Z-8J (6min),,,1,Mi8 (6min),,,1,UH1H (6min),,,1,UH60 (6min),,,1,UH1Y (6min),,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,0,Total,,,0,Total
Boats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62
,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal
,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total
Special Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,None,,,,None,,,,None,,,,None,,,,None,,,,None,,,,None,,,,None,,,,None
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOB Emplacements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,MG Tripod,,,2,MG Tripod,,,2,MG Tripod,,,2,MG Tripod,,,2,MG Tripod,,,2,MG Tripod,,,,,,,4,MG Tripod,,,4,MG Tripod
,2,MG Bunker,,,2,MG Bunker,,,2,MG Bunker,,,2,MG Bunker,,,2,MG Bunker,,,2,MG Bunker,,,,,,,3,SPG,,,3,SPG
,1,ATGM,,,1,ATGM,,,1,ATGM,,,1,ATGM,,,1,ATGM,,,1,ATGM,,,,,,,2,Mortar,,,2,Mortar
,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,,,,,1,HAB (100 points),,,2,HAB (100 points)
,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,,,,,2,AA Gun,,,2,AA Gun
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Field Gun,,,1,Hell Cannon
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,UB32,,,,
