,BAF,,,,CAF,,,,MEA,,,,PLA,,,,PLANMC,,,,RGF,,,,TLF,,,,USA,,,,USMC,,,,VDV,,,,IMF,,,,INS,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,HX60 Logi,,,1,LUVW Logi,,,1,Ural4320 Logi,,,1,CTM-131 Logi,,,1,ZSD Logi,,,1,Kamaz Logi,,,1,BMC Logi,,,1,M939 Logi,,,1,M939 Logi,,,1,BTR-DG Logi,,,1,Technical Logi,,,1,Technical Logi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total
Tanks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,FV4034 (20min),,,1,Leopard 2A6M (20min),,,1,T72S (20min),,,1,ZTZ-99A (20min),,,2,ZTD05 (20min),,,1,T72B3 (20min),,,1,M60T (20min),,,1,M1A2 (20min),,,1,M1A1 (20min),,,1,T72B3 (20min),,,1,T62 (20min),,,1,T62 (20min)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Total,,,1,Total,,,1,Total,,,1,Total,,,2,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total
Helicopters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,SA330 (10min),,,2,CH146 (10min),,,2,Mi17 (10min),,,2,Z-8G (10min),,,2,Z-8J (10min),,,2,Mi8 (10min),,,1,UH1H (10min),,,2,UH60 (10min),,,2,UH1Y (10min),,,2,Mi8 (10min),,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,UH60 (10min),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,Total,,,2,Total,,,2,Total,,,2,Total,,,2,Total,,,2,Total,,,1,Total,,,2,Total,,,2,Total,,,2,Total,,,0,Total,,,0,Total
Boats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62
,1,RHIB .50 cal,,,1,RHIB .50 cal,,,1,RHIB .50 cal,,,1,RHIB .50 cal,,,1,RHIB .50 cal,,,1,RHIB .50 cal,,,1,RHIB .50 cal,,,1,RHIB .50 cal,,,1,RHIB .50 cal,,,1,RHIB .50 cal,,,1,RHIB .50 cal,,,1,RHIB .50 cal
,2,RHIB Logi,,,2,RHIB Logi,,,2,RHIB Logi,,,2,RHIB Logi,,,2,RHIB Logi,,,2,RHIB Logi,,,2,RHIB Logi,,,2,RHIB Logi,,,2,RHIB Logi,,,2,RHIB Logi,,,2,RHIB Logi,,,2,RHIB Logi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total
Special Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Extra Logi Truck,,,,Extra Logi Truck,,,,Extra Logi Truck,,,,Extra Logi Truck,,,,Extra Logi Truck,,,,Extra Logi Truck,,,,Extra Logi Truck,,,,Extra Logi Truck,,,,Extra Logi Truck,,,,Extra Logi Truck,,,,Extra BM-21 Grad,,,,Extra Hell Cannon
,,Extra HAB,,,,Extra HAB,,,,Extra HAB,,,,Extra HAB,,,,Extra HAB,,,,Extra HAB,,,,Extra HAB,,,,Extra HAB,,,,Extra HAB,,,,Extra HAB,,,,Extra HAB,,,,Enemy Intel
,,Access to ATGM,,,,Access to ATGM,,,,Access to ATGM,,,,Access to ATGM,,,,Access to ATGM,,,,Access to ATGM,,,,Access to ATGM,,,,Access to ATGM,,,,Access to ATGM,,,,Access to ATGM,,,,Access to ATGM,,,,
,,Enemy Intel,,,,Enemy Intel,,,,Enemy Intel,,,,Enemy Intel,,,,Enemy Intel,,,,Enemy Intel,,,,Enemy Intel,,,,Enemy Intel,,,,Enemy Intel,,,,Enemy Intel,,,,Enemy Intel,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOB Emplacements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,MG Tripod,,,2,MG Tripod,,,2,MG Tripod,,,2,MG Tripod,,,2,MG Tripod,,,2,MG Tripod,,,2,MG Tripod,,,2,MG Tripod,,,2,MG Tripod,,,2,MG Tripod,,,4,MG Tripod,,,4,MG Tripod
,2,MG Bunker,,,2,MG Bunker,,,2,MG Bunker,,,2,MG Bunker,,,2,MG Bunker,,,2,MG Bunker,,,2,MG Bunker,,,2,MG Bunker,,,2,MG Bunker,,,2,MG Bunker,,,3,SPG,,,3,SPG
,1,ATGM,,,1,ATGM,,,1,ATGM,,,1,ATGM,,,1,ATGM,,,1,ATGM,,,1,ATGM,,,1,ATGM,,,1,ATGM,,,1,ATGM,,,2,Mortar,,,2,Mortar
,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,HAB (100 points),,,2,HAB (100 points)
,2,HAB,,,2,HAB,,,2,HAB,,,2,HAB,,,2,HAB,,,2,HAB,,,2,HAB,,,2,HAB,,,2,HAB,,,2,HAB,,,2,AA Gun,,,2,AA Gun
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Field Gun,,,2,Hell Cannon
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,UB32,,,,
