,Level,ID,Layer Name,Game Mode,Lighting,Tickets,Commander,Layer Size*,,Notes,,Totals,
,,116,Lashkar_Skirmish_v1,Skirmish,Daytime,200 v 200,No,Small,,,,,
,,117,Lashkar_TC_v1,TerritoryControl,Daytime,400 v 400,Yes,Large,,,,,
,,118,Lashkar_TC_v2,TerritoryControl,Daytime,400 v 400,Yes,Large,,,,,
,,,,,,,,,,,,,
,Logar,119,Logar_AAS_v1,AAS,Daytime,200 v 200,No,Small,,,,,
,,120,Logar_Insurgency_v1,Insurgency,Afternoon,200 v 1000,No,Small,,,,,
,,121,Logar_RAAS_v1,RAAS,Daytime,250 v 250,No,Small,,,,,
,,122,Logar_Seed_v1,Seed,Afternoon,100 v 100,No,Small,,,,,
,,123,Logar_Skirmish_v1,Skirmish,Afternoon,200 v 200,No,Small,,,,,
,,124,Logar_TC_v1,TerritoryControl,Daytime,400 v 400,No,Small,,,,,
,,,,,,,,,,,,,
,Manicouagan,125,Manicouagan_AAS_v1,AAS,Daytime,250 v 250,Yes,Large,,,,,
,,126,Manicouagan_AAS_v2,AAS,Daytime,250 v 250,Yes,Large,,,,,
,,127,Manicouagan_AAS_v3,AAS,Daytime,250 v 250,Yes,Large,,,,,
,,128,Manicouagan_RAAS_v1,RAAS,Daytime,250 v 250,Yes,Large,,,,,
,,129,Manicouagan_RAAS_v2,RAAS,Daytime,250 v 250,Yes,Large,,,,,
,,130,Manicouagan_Invasion_v1,Invasion,Daytime,250 v 800,Yes,Large,,,,,
,,131,Manicouagan_Invasion_v2,Invasion,Daytime,250 v 800,Yes,Large,,,,,
,,132,Manicouagan_Seed_v1,Seed,Daytime,100 v 100,No,Small,,,,,
,,132,Manicouagan_Seed_v2_CL,Seed,Daytime,100 v 100,No,Small,,New for v10.3,,,
,,133,Manicouagan_Skirmish_v1,Skirmish,Overcast,200 v 200,No,Small,,,,,
,,134,Manicouagan_Skirmish_v2,Skirmish,Daytime,200 v 200,No,Small,,,,,
,,135,Manicouagan_Skirmish_v3,Skirmish,Daytime,200 v 200,No,Small,,,,,
,,,,,,,,,,,,,
,Mestia,136,Mestia_AAS_v1,AAS,Daytime,200 v 200,Yes,Medium,,,,,
,,137,Mestia_AAS_v2,AAS,Daytime,200 v 200,Yes,Medium,,,,,
,,138,Mestia_Invasion_v1,Invasion,Daytime,250 v 800,Yes,Medium,,,,,
,,139,Mestia_RAAS_v1,RAAS,Daytime,200 v 200,Yes,Medium,,,,,
,,140,Mestia_Skirmish_v1,Skirmish,Daytime,200 v 200,No,Small,,,,,
,,141,Mestia_TC_v1,TerritoryControl,Daytime,400 v 400,Yes,Medium,,,,,
,,,,,,,,,,,,,
,Mutaha,142,Mutaha_AAS_v1,AAS,Daytime,250 v 250,Yes,Large,,,,,
,,143,Mutaha_AAS_v2,AAS,Daytime,250 v 250,Yes,Large,,,,,
,,144,Mutaha_Invasion_v1,Invasion,Daytime,250 v 800,Yes,Large,,,,,
,,145,Mutaha_RAAS_v1,RAAS,Daytime,250 v 250,Yes,Large,,,,,
,,146,Mutaha_RAAS_v2,RAAS,Daytime,250 v 250,Yes,Large,,,,,
,,147,Mutaha_Seed_v1,Seed,Daytime,100 v 100,No,Small,,,,,
,,148,Mutaha_Skirmish_v1,Skirmish,Daytime,200 v 200,No,Small,,,,,
,,149,Mutaha_TC_v1,TerritoryControl,Daytime,400 v 400,Yes,Large,,,,,
,,,,,,,,,,,,,
,Narva,150,Narva_AAS_v1,AAS,Daytime,250 v 250,Yes,Large,,,,,
,,151,Narva_AAS_v2,AAS,Daytime,250 v 250,Yes,Large,,,,,
,,152,Narva_AAS_v3,AAS,Overcast,250 v 250,Yes,Large,,,,,
,,153,Narva_Destruction_v1,Destruction,Daytime,200 v 1000,Yes,Large,,,,,
,,154,Narva_Invasion_v1,Invasion,Daytime,250 v 800,Yes,Large,,,,,
,,155,Narva_Invasion_v2,Invasion,Daytime,250 v 800,Yes,Large,,,,,
,,156,Narva_RAAS_v1,RAAS,Daytime,250 v 250,Yes,Large,,,,,
,,157,Narva_Skirmish_v1,Skirmish,Overcast,200 v 200,No,Small,,,,,
,,158,Narva_TC_v1,TerritoryControl,Overcast,400 v 400,Yes,Large,,,,,
,,,,,,,,,,,,,
,Pacific Proving Grounds,159,PacificProvingGrounds_AAS_v1,AAS,Daytime,250 v 250,No,Small,,,,,
,,160,PacificProvingGrounds_Seed_v1,Seed,None,100 v 100,No,Small,,,,,
,,161,PacificProvingGrounds_PLANMC-VDV,Training,None,99999 v 99999,Yes,Small,,,,,
,,162,PacificProvingGrounds_USMC-PLA,Training,None,99999 v 99999,Yes,Small,,,,,
,,163,PacificProvingGrounds_USMC-RGF,Training,None,99999 v 99999,Yes,Small,,,,,
,,,,,,,,,,,,,
,Sanxian Islands,164,Sanxian_AAS_v1,AAS,Daytime,250 v 250,Yes,Large,,,,,
,,165,Sanxian_AAS_v2,AAS,Daytime,250 v 250,Yes,Large,,,,,
,,166,Sanxian_AAS_v3,AAS,Daytime,250 v 250,Yes,Large,,,,,
,,167,Sanxian_Invasion_v1,Invasion,Daytime,250 v 800,Yes,Large,,,,,
,,168,Sanxian_Invasion_v2,Invasion,Daytime,250 v 800,Yes,Large,,,,,
,,168,Sanxian_Invasion_v3,Invasion,Daytime,250 v 800,Yes,Large,,New for v10.3,,,
,,169,Sanxian_RAAS_v1,RAAS,Daytime,250 v 250,Yes,Large,,,,,
,,170,Sanxian_RAAS_v2,RAAS,Daytime,250 v 250,Yes,Large,,,,,
,,,Sanxian_RAAS_v3_CL,RAAS,Daytime,250 v 250,Yes,Large,,New for v10.3,,,
,,171,Sanxian_Seed_v1,Seed,Morning,100 v 100,No,Small,,,,,
,,172,Sanxian_Skirmish_v1,Skirmish,Afternoon,200 v 200,No,Small,,,,,
,,,,,,,,,,,,,
,Skorpo,173,Skorpo_Invasion_v1,Invasion,Daytime,250 v 800,Yes,Large,,,,,
,,174,Skorpo_Invasion_v2,Invasion,Overcast,250 v 800,Yes,Large,,,,,
,,174,Skorpo_Invasion_v3,Invasion,Overcast,250 v 800,Yes,Large,,New for v10.3,,,
,,175,Skorpo_RAAS_v1,RAAS,Daytime,250 v 250,Yes,Large,,,,,
,,176,Skorpo_Skirmish_v1,Skirmish,Overcast,200 v 200,No,Small,,,,,
,,,,,,,,,,,,,
,Sumari,177,Sumari_AAS_v1,AAS,Daytime,200 v 200,No,Small,,,,,
,,178,Sumari_AAS_v2,AAS,Daytime,200 v 200,No,Small,,,,,
,,179,Sumari_AAS_v3,AAS,Daytime,200 v 200,No,Small,,,,,
,,180,Sumari_Insurgency_v1,Insurgency,Daytime,200 v 1000,No,Small,,,,,
,,181,Sumari_Invasion_v1,Invasion,Daytime,250 v 800,No,Small,,,,,
,,182,Sumari_RAAS_v1,RAAS,Daytime,200 v 200,No,Small,,,,,
,,183,Sumari_Seed_v1,Seed,Daytime,100 v 100,No,Small,,,,,
,,184,Sumari_Skirmish_v1,Skirmish,Daytime,200 v 200,No,Small,,,,,
,,185,Sumari_TC_v1,TerritoryControl,Daytime,400 v 400,No,Small,,,,,
,,,,,,,,,,,,,
,Tallil,186,Tallil_AAS_v1,AAS,Daytime,250 v 250,Yes,Large,,,,,
,,187,Tallil_Invasion_v1,Invasion,Daytime,250 v 800,Yes,Large,,,,,
,,188,Tallil_RAAS_v1,RAAS,Daytime,250 v 250,Yes,Large,,,,,
,,189,Tallil_RAAS_v2,RAAS,Daytime,250 v 250,Yes,Large,,,,,
,,190,Tallil_Seed_v1,Seed,Daytime,100 v 100,No,Small,,,,,
,,191,Tallil_Skirmish_v1,Skirmish,Daytime,200 v 200,No,Small,,,,,
,,192,Tallil_Skirmish_v2,Skirmish,Morning,200 v 200,No,Small,,,,,
,,193,Tallil_Skirmish_v3,Skirmish,Daytime,200 v 200,No,Small,,,,,
,,194,Tallil_TC_v1,TerritoryControl,Daytime,400 v 400,Yes,Large,,,,,
,,,,,,,,,,,,,
,Yehorivka,195,Yehorivka_AAS_v1,AAS,Daytime,250 v 250,Yes,Large,,,,,
,,196,Yehorivka_AAS_v2,AAS,Daytime,250 v 250,Yes,Large,,,,,
,,197,Yehorivka_Destruction_v1,Destruction,Daytime,200 v 1000,Yes,Large,,,,,
,,198,Yehorivka_Invasion_v1,Invasion,Overcast,250 v 800,Yes,Large,,,,,
,,199,Yehorivka_Invasion_v2,Invasion,Daytime,250 v 800,Yes,Large,,,,,
,,200,Yehorivka_Skirmish_v1,Skirmish,Overcast,200 v 200,No,Small,,,,,
,,201,Yehorivka_Skirmish_v2,Skirmish,Daytime,200 v 200,No,Small,,,,,
,,202,Yehorivka_RAAS_v1,RAAS,Daytime,250 v 250,Yes,Large,,,,,
,,203,Yehorivka_RAAS_v2,RAAS,Daytime,250 v 250,Yes,Large,,,,,
,,204,Yehorivka_TC_v1,TerritoryControl,Daytime,400 v 400,Yes,Large,,,,,
,,205,Yehorivka_TC_v2,TerritoryControl,Daytime,400 v 400,Yes,Large,,,,,
,,,,,,,,,,,,,
,"*LAYER SIZE CORRESPONDS TO THE UNIT TEMPLATE TABS IN THIS DOC, LARGE UNIT TEMPLATES ARE USED ON LARGE LAYERS",,,,,,,,,,,,
