,,CAF,,,,PLA,,,,PLANMC,,,,RGF,,,,TLF,,,,USA,,,,USMC,,,,IMF,,,,INS,
Tanks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,Leopard 2A6M (15min),,,1,ZTZ-99A (15min),,,2,ZTD05 (10min),,,1,T90A (15min),,,1,M60T (15min),,,1,M1A2 (15min),,,1,M1A1 (15min),,,1,T62 (10min),,,1,T62 (10min)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,Total,,,1,Total,,,2,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total
Helicopters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,CH146 (10min),,,1,Z-8G (10min),,,1,Z-8J (10min),,,1,Mi8 (10min),,,1,UH1H (10min),,,1,UH60 (10min),,,1,UH1Y (10min),,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,0,Total,,,0,Total
Boats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62
,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal
,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total
Special Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,No ATGM Emplacements,,,,No ATGM Emplacements,,,,No ATGM Emplacements,,,,No ATGM Emplacements,,,,No ATGM Emplacements,,,,No ATGM Emplacements,,,,No ATGM Emplacements,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOB Emplacements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,MG Tripod,,,2,MG Tripod,,,2,MG Tripod,,,2,MG Tripod,,,2,MG Tripod,,,2,MG Tripod,,,2,MG Tripod,,,4,MG Tripod,,,4,MG Tripod
,,2,MG Bunker,,,2,MG Bunker,,,2,MG Bunker,,,2,MG Bunker,,,2,MG Bunker,,,2,MG Bunker,,,2,MG Bunker,,,3,SPG,,,3,SPG
,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar
,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB (100 points),,,2,HAB (100 points)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,AA Gun,,,2,AA Gun
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Field Gun,,,1,Hell Cannon
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,UB32,,,,
