,MEA,,,,PLA,,,,PLANMC,,,,RGF,,,,USA,,,,USMC,,,,WPMC,,,,IMF,,,,INS,
,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB .50 cal,,,1,RHIB Logi,,,1,RHIB Logi
,,,,,,,,,,,,,,,,,,,,,,,,,1,RHIB Logi,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,3,Total,,,4,Total,,,4,Total
Special Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Extra ATGM Emplacement,,,,Extra ATGM Emplacement,,,,Extra ATGM Emplacement,,,,Extra ATGM Emplacement,,,,Extra ATGM Emplacement,,,,Extra ATGM Emplacement,,,,Extra ATGM Emplacement,,,,,,,,
,,Extra HAT roles,,,,Extra HAT roles,,,,Extra HAT roles,,,,Extra HAT roles,,,,Extra HAT roles,,,,Extra HAT roles,,,,Extra HAT roles,,,,,,,,
,,,,,,,,,,,,,,,,,,AGL Emplacements,,,,AGL Emplacements,,,,AGL Emplacements,,,,,,,,
,,,,,,,,,,,,,,,,,,Suppressed M110 Marksman,,,,Suppressed M110 Marksman,,,,No FOB Mortar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOB Emplacements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,HMG Tripod,,,2,HMG Tripod,,,2,HMG Tripod,,,2,HMG Tripod,,,2,AGL Tripod,,,2,AGL Tripod,,,2,AGL Tripod,,,4,HMG Tripod,,,4,HMG Tripod
,2,HMG Bunker,,,2,HMG Bunker,,,2,HMG Bunker,,,2,HMG Bunker,,,2,HMG Bunker,,,2,HMG Bunker,,,2,AGL Bunker,,,3,SPG,,,3,SPG
,2,ATGM,,,2,ATGM,,,2,ATGM,,,2,ATGM,,,2,ATGM,,,2,ATGM,,,2,HMG Tripod,,,2,Mortar,,,2,Mortar
,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,HMG Bunker,,,1,HAB (100 points),,,2,HAB (100 points)
,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,2,ATGM,,,2,AA Gun,,,2,AA Gun
,,,,,,,,,,,,,,,,,,,,,,,,,1,HAB,,,2,Field Gun,,,1,Hell Cannon
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,UB32,,,,
