,ADF,,,,BAF,,,,CAF,,,,MEA,,,,PLA,,,,PLAAGF,,,,PLANMC,,,,RGF,,,,TLF,,,,USA,,,,USMC,,,,VDV,,,,WPMC,,,,IMF,,,,INS,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,LAV-25 (10min),,,,,,,1,M1151 TOW (10min),,,1,BMP2 (10min),,,1,MTLB PKT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,BMP1 (10min)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,Total,,,9,Total,,,9,Total,,,11,Total,,,9,Total,,,8,Total,,,8,Total,,,9,Total,,,9,Total,,,9,Total,,,9,Total,,,8,Total,,,13,Total,,,13,Total,,,14,Total
Infantry Role Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-1 Mortar,,,,-1 Mortar,,,,-1 Mortar,,,,-1 Mortar,,,,-1 Mortar,,,,-1 Mortar,,,,-1 Mortar,,,,-1 Mortar,,,,-1 Mortar,,,,-1 Mortar,,,,-1 Mortar,,,,-1 Mortar,,,,-1 Mortar,,,,-1 Mortar,,,,-1 Mortar
,,No ATGM Emplacements,,,,No ATGM Emplacements,,,,No ATGM Emplacements,,,,No ATGM Emplacements,,,,No ATGM Emplacements,,,,No ATGM Emplacements,,,,No ATGM Emplacements,,,,No ATGM Emplacements,,,,No ATGM Emplacements,,,,No ATGM Emplacements,,,,No ATGM Emplacements,,,,No ATGM Emplacements,,,,No ATGM Emplacements,,,,No UB32 Emplacements,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOB Emplacements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,MG Tripod,,,2,MG Tripod,,,2,MG Tripod,,,2,MG Tripod,,,2,MG Tripod,,,2,MG Tripod,,,2,MG Tripod,,,2,MG Tripod,,,2,MG Tripod,,,2,MG Tripod,,,2,MG Tripod,,,2,MG Tripod,,,2,MG Tripod,,,4,MG Tripod,,,4,MG Tripod
,2,MG Bunker,,,2,MG Bunker,,,2,MG Bunker,,,2,MG Bunker,,,2,MG Bunker,,,2,MG Bunker,,,2,MG Bunker,,,2,MG Bunker,,,2,MG Bunker,,,2,MG Bunker,,,2,MG Bunker,,,2,MG Bunker,,,2,MG Bunker,,,3,SPG,,,3,SPG
,1,Mortar,,,1,Mortar,,,1,Mortar,,,1,Mortar,,,1,Mortar,,,1,Mortar,,,1,Mortar,,,1,Mortar,,,1,Mortar,,,1,Mortar,,,1,Mortar,,,1,Mortar,,,1,Mortar,,,1,Mortar,,,1,Mortar
,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB (100 points),,,2,HAB (100 points)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,AA Gun,,,2,AA Gun
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Field Gun,,,1,Hell Cannon
