,ADF,,,,BAF,,,,CAF,,,,MEA,,,,PLA,,,,PLAAGF,,,,PLANMC,,,,RGF,,,,TLF,,,,USA,,,,USMC,,,,VDV,,,,WPMC,,,,IMF,,,,INS,
,,,,,1,FV510 UA,,,,,,,1,BMP1,,,1,ZBD04A,,,1,ZTD05 MGS,,,4,ZTD05 MGS,,,1,BMP2,,,2,PARS III IFV,,,1,M2A3,,,3,LAV-25,,,2,BMD-4M,,,2,CPV M134,,,1,Technical SPG9,,,1,M1151 Technical DSHK
,,,,,,,,,,,,,2,BMP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Sprut-SDM1,,,1,M1151 M2,,,1,BMP1,,,1,BRDM-2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Technical Mortar,,,1,BMP2,,,1,MTLB PKT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,M1117,,,1,Ural ZU23,,,2,BMP1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,M1151 TOW,,,1,MTLB ZU23,,,1,Technical UB32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,BM-21 Grad (6min),,,2,Ural ZU23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,Total,,,10,Total,,,11,Total,,,15,Total,,,11,Total,,,11,Total,,,12,Total,,,11,Total,,,11,Total,,,11,Total,,,13,Total,,,12,Total,,,19,Total,,,18,Total,,,20,Total
Tanks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,M1A1 (15min),,,1,FV4034 (15min),,,1,Leopard 2A6M (15min),,,1,T72S (15min),,,1,ZTZ-99A (15min),,,1,ZTZ-99A (15min),,,,,,,1,T90A (15min),,,2,M60T (15min),,,1,M1A2 (15min),,,1,M1A1 (15min),,,1,T72B3 (15min),,,1,M60T (15min),,,1,T62 (15min),,,1,T62 (15min)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,0,Total,,,1,Total,,,2,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total,,,1,Total
Helicopters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,MRH90 (6min),,,2,SA330 (6min),,,2,CH146 (6min),,,2,Mi17 (6min),,,2,Z-8G (6min),,,2,Z-8G (6min),,,2,Z-8J (6min),,,2,Mi8 (6min),,,1,UH1H (6min),,,2,UH60 (6min),,,2,UH1Y (6min),,,2,Mi8 (6min),,,2,Raven (6min),,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,UH60 (6min),,,,,,,,,,,,,,,1,Loach Scout,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,Total,,,2,Total,,,2,Total,,,2,Total,,,2,Total,,,2,Total,,,2,Total,,,2,Total,,,1,Total,,,2,Total,,,2,Total,,,2,Total,,,2,Total,,,0,Total,,,0,Total
Boats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB 7.62,,,1,RHIB M134,,,1,RHIB 7.62,,,1,RHIB 7.62
,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,2,RHIB .50 cal,,,1,RHIB Mk19,,,2,RHIB .50 cal,,,2,RHIB .50 cal
,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB Logi,,,1,RHIB .50 cal,,,1,RHIB Logi,,,1,RHIB Logi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,RHIB Logi,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,4,Total,,,3,Total,,,4,Total,,,4,Total
Special Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,None,,,,None,,,,None,,,,None,,,,None,,,,None,,,,None,,,,None,,,,None,,,,None,,,,None,,,,None,,,,No FOB Mortars,,,,None,,,,None
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOB Emplacements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,HMG Tripod,,,2,HMG Tripod,,,2,HMG Tripod,,,2,HMG Tripod,,,2,HMG Tripod,,,2,HMG Tripod,,,2,HMG Tripod,,,2,HMG Tripod,,,2,HMG Tripod,,,2,HMG Tripod,,,2,HMG Tripod,,,2,HMG Tripod,,,2,HMG Tripod,,,4,HMG Tripod,,,4,HMG Tripod
,2,HMG Bunker,,,2,HMG Bunker,,,2,HMG Bunker,,,2,HMG Bunker,,,2,HMG Bunker,,,2,HMG Bunker,,,2,HMG Bunker,,,2,HMG Bunker,,,2,HMG Bunker,,,2,HMG Bunker,,,2,HMG Bunker,,,2,HMG Bunker,,,2,HMG Bunker,,,3,SPG,,,3,SPG
,1,ATGM,,,1,ATGM,,,1,ATGM,,,1,ATGM,,,1,ATGM,,,1,ATGM,,,1,ATGM,,,1,ATGM,,,1,ATGM,,,1,ATGM,,,1,ATGM,,,1,ATGM,,,1,ATGM,,,2,Mortar,,,2,Mortar
,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,2,Mortar,,,1,HAB,,,1,HAB (100 points),,,2,HAB (100 points)
,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,1,HAB,,,,,,,2,AA Gun,,,2,AA Gun
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Field Gun,,,1,Hell Cannon
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,UB32,,,,
